naics_code,sector_label,seasonal_index,peak_quarter,n_excess_obs,n_years,earnings_excessQ1,n_earnings_excessQ1,earnings_excessQ2,n_earnings_excessQ2,earnings_excessQ3,n_earnings_excessQ3,earnings_excessQ4,n_earnings_excessQ4,earnings_share_Q1,earnings_share_Q2,earnings_share_Q3,earnings_share_Q4,idio_earnings_excessQ1,idio_earnings_excessQ2,idio_earnings_excessQ3,idio_earnings_excessQ4,earnings_excess_at_sep_peak,idio_earnings_excess_at_sep_peak,income_dips_in_off_season,income_dips_in_off_season_idio
111336,"Agriculture, forestry, fishing",1.0,4.0,18.0,24,-0.054482075006126,23,0.11945094335073113,24,0.0120033125072195,24,-0.08167878441687841,23,0.9605377177065328,1.110297953421982,1.0211563024359687,0.9080080264355166,-0.02315796886725694,0.1248414394562263,0.060141167951275276,-0.16687375928417714,-0.08167878441687841,-0.16687375928417714,True,True
722330,Accommodation & food services,1.0,3.0,18.0,24,-0.04156239938736581,23,0.12391043800725875,24,-0.08226852315356772,24,-0.0022895002799011963,23,0.992437450180219,1.0939667470161425,0.9476751678375486,0.96592063496609,-0.010238293248496753,0.12930093411275392,-0.034130667709511946,-0.08748447514719994,-0.08226852315356772,-0.034130667709511946,True,True
111140,"Agriculture, forestry, fishing",1.0,4.0,20.0,24,-0.13926484994692503,23,0.06528189529607409,24,-0.030661271075648606,24,0.10355570502866192,23,0.9055254686035946,1.0235699611387228,1.0110506630817027,1.0598539071759798,-0.10794074380805598,0.07067239140156927,0.017476584368407173,0.01836073016136318,0.10355570502866192,0.01836073016136318,False,False
111160,"Agriculture, forestry, fishing",1.0,4.0,22.0,24,-0.04449900743393417,23,0.06927214656394763,24,-0.07456170932568879,24,0.05244375583316198,23,0.9803570903183144,1.037870606894823,0.9568398303434359,1.0249324724434266,-0.013174901295065114,0.07466264266944281,-0.026423853881633007,-0.03275121903413676,0.05244375583316198,-0.03275121903413676,False,True
111199,"Agriculture, forestry, fishing",1.0,4.0,23.0,24,-0.13764046913922687,23,0.08220531813503888,24,-0.06943332869996767,24,0.12536991942490125,23,0.913014768677591,1.0300657981275798,0.9827061913074914,1.0742132418873378,-0.10631636300035781,0.08759581424053406,-0.02129547325591189,0.04017494455760251,0.12536991942490125,0.04017494455760251,False,False
111219,"Agriculture, forestry, fishing",1.0,4.0,16.0,24,-0.0543901901522598,23,0.16228827995144898,24,-0.022183610990811533,24,-0.08613601568835878,23,0.9648808139095092,1.1431873475910148,0.9969173213696226,0.895014517129853,-0.02306608401339074,0.16767877605694417,0.025954244453244246,-0.17133099055565754,-0.08613601568835878,-0.17133099055565754,True,True
111998,"Agriculture, forestry, fishing",1.0,4.0,20.0,24,-0.09779154558169685,23,0.0730471783589662,24,-0.06703995857322224,24,0.09251001359768043,23,0.9441836000708465,1.0320950588581743,0.9739121609275697,1.0498091801434095,-0.06646743944282779,0.07843767446446137,-0.018902103129166466,0.0073150387303816955,0.09251001359768043,0.0073150387303816955,False,False
111120,"Agriculture, forestry, fishing",1.0,4.0,12.0,24,0.005580910446466411,23,0.09105772241720016,24,-0.0932052473756365,24,0.029063348671544417,23,0.9731941437360642,1.0510540212040094,0.9467984538375543,1.0289533812223723,0.03690501658533547,0.09644821852269533,-0.04506739193158072,-0.05613162619575432,0.029063348671544417,-0.05613162619575432,False,True
115113,"Agriculture, forestry, fishing",1.0,4.0,10.0,24,-0.08271168479553441,23,0.09689860068943644,24,-0.03068561964583053,24,0.01748516254812063,23,0.9447192362195717,1.0682431395473502,0.9979698414962558,0.9890677827368224,-0.05138757865666535,0.10228909679493162,0.01745223579822525,-0.06770981231917811,0.01748516254812063,-0.06770981231917811,False,True
512132,Information,1.0,3.0,21.0,24,0.03922743863075818,23,0.3483390075472939,24,-0.20995157177925083,24,-0.17793229383433018,23,1.0833072915236224,1.3061242474620844,0.8322631883059586,0.7783052727083343,0.07055154476962724,0.3537295036527891,-0.16181371633519506,-0.26312726870162895,-0.20995157177925083,-0.16181371633519506,True,True
